2023-09-26 03:41:08,730 | train | INFO | batch: 100/313 loss: 0.48881471157073975 - device_num : 0
2023-09-26 03:41:08,736 | train | INFO | batch: 100/313 loss: 0.1457628756761551 - device_num : 2
2023-09-26 03:41:08,742 | train | INFO | batch: 100/313 loss: 0.17383244633674622 - device_num : 7
2023-09-26 03:41:08,742 | train | INFO | batch: 100/313 loss: 0.4534311294555664 - device_num : 6
2023-09-26 03:41:08,770 | train | INFO | batch: 100/313 loss: 0.35956311225891113 - device_num : 5
2023-09-26 03:41:08,778 | train | INFO | batch: 100/313 loss: 0.10989311337471008 - device_num : 4
2023-09-26 03:41:08,798 | train | INFO | batch: 100/313 loss: 0.2631274461746216 - device_num : 1
2023-09-26 03:43:50,271 | train | INFO | batch: 200/313 loss: 0.12493260949850082 - device_num : 5
2023-09-26 03:43:50,283 | train | INFO | batch: 200/313 loss: 0.3733639419078827 - device_num : 4
2023-09-26 03:43:50,292 | train | INFO | batch: 200/313 loss: 0.06365573406219482 - device_num : 2
2023-09-26 03:43:50,307 | train | INFO | batch: 200/313 loss: 0.4501652717590332 - device_num : 7
2023-09-26 03:43:50,345 | train | INFO | batch: 200/313 loss: 0.1894339621067047 - device_num : 3
2023-09-26 03:43:50,409 | train | INFO | batch: 200/313 loss: 0.04163285344839096 - device_num : 0
2023-09-26 03:43:50,415 | train | INFO | batch: 200/313 loss: 0.06663389503955841 - device_num : 1
2023-09-26 03:43:50,442 | train | INFO | batch: 200/313 loss: 0.08484124392271042 - device_num : 6
2023-09-26 03:46:32,146 | train | INFO | batch: 300/313 loss: 0.13430292904376984 - device_num : 5
2023-09-26 03:46:32,320 | train | INFO | batch: 300/313 loss: 0.3893163204193115 - device_num : 7
2023-09-26 03:46:32,324 | train | INFO | batch: 300/313 loss: 0.21996214985847473 - device_num : 4
2023-09-26 03:46:32,395 | train | INFO | batch: 300/313 loss: 0.45596906542778015 - device_num : 0
2023-09-26 03:46:32,460 | train | INFO | batch: 300/313 loss: 0.10917938500642776 - device_num : 3
2023-09-26 03:46:32,497 | train | INFO | batch: 300/313 loss: 0.0272851400077343 - device_num : 1
2023-09-26 03:46:32,497 | train | INFO | batch: 300/313 loss: 0.2716614902019501 - device_num : 2
2023-09-26 03:46:32,502 | train | INFO | batch: 300/313 loss: 0.23826296627521515 - device_num : 6
