2023-09-27 10:32:35,272 | train | INFO | batch: 100/313 loss: 0.27818483114242554 - device_num : 0
2023-09-27 10:32:35,280 | train | INFO | batch: 100/313 loss: 0.22473202645778656 - device_num : 6
2023-09-27 10:32:35,420 | train | INFO | batch: 100/313 loss: 0.23401086032390594 - device_num : 3
2023-09-27 10:32:35,470 | train | INFO | batch: 100/313 loss: 0.1090584471821785 - device_num : 1
2023-09-27 10:35:23,112 | train | INFO | batch: 200/313 loss: 0.033693645149469376 - device_num : 4
2023-09-27 10:35:23,154 | train | INFO | batch: 200/313 loss: 0.16586144268512726 - device_num : 2
2023-09-27 10:35:23,186 | train | INFO | batch: 200/313 loss: 0.039000459015369415 - device_num : 3
2023-09-27 10:35:23,190 | train | INFO | batch: 200/313 loss: 0.04147639870643616 - device_num : 0
2023-09-27 10:35:23,216 | train | INFO | batch: 200/313 loss: 0.01595001108944416 - device_num : 1
2023-09-27 10:35:23,216 | train | INFO | batch: 200/313 loss: 0.017491605132818222 - device_num : 5
2023-09-27 10:35:23,244 | train | INFO | batch: 200/313 loss: 0.16482070088386536 - device_num : 6
2023-09-27 10:35:23,284 | train | INFO | batch: 200/313 loss: 0.033372845500707626 - device_num : 7
2023-09-27 10:38:08,866 | train | INFO | batch: 300/313 loss: 0.019933968782424927 - device_num : 2
2023-09-27 10:38:08,866 | train | INFO | batch: 300/313 loss: 0.08526280522346497 - device_num : 3
2023-09-27 10:38:08,867 | train | INFO | batch: 300/313 loss: 0.3834996521472931 - device_num : 7
2023-09-27 10:38:08,868 | train | INFO | batch: 300/313 loss: 0.026426564902067184 - device_num : 0
2023-09-27 10:38:08,872 | train | INFO | batch: 300/313 loss: 0.0027977044228464365 - device_num : 1
2023-09-27 10:38:08,873 | train | INFO | batch: 300/313 loss: 0.18489712476730347 - device_num : 6
2023-09-27 10:38:08,879 | train | INFO | batch: 300/313 loss: 0.04177140071988106 - device_num : 4
2023-09-27 10:38:08,882 | train | INFO | batch: 300/313 loss: 0.05461243912577629 - device_num : 5
2023-09-27 10:38:24,693 | train | INFO | --Val 3/10 -- device_num:1
2023-09-27 10:38:24,748 | train | INFO | --Val 3/10 -- device_num:5
2023-09-27 10:38:24,759 | train | INFO | --Val 3/10 -- device_num:3
2023-09-27 10:38:24,763 | train | INFO | --Val 3/10 -- device_num:7
2023-09-27 10:38:24,771 | train | INFO | --Val 3/10 -- device_num:6
2023-09-27 10:38:24,782 | train | INFO | --Val 3/10 -- device_num:0
2023-09-27 10:38:24,785 | train | INFO | --Val 3/10 -- device_num:2
2023-09-27 10:38:24,791 | train | INFO | --Val 3/10 -- device_num:4
2023-09-27 10:38:29,318 | train | INFO | batch: 0/16 loss: 0.1480429619550705 - device_num : 4
2023-09-27 10:38:30,038 | train | INFO | batch: 0/16 loss: 0.23539011180400848 - device_num : 1
2023-09-27 10:38:30,501 | train | INFO | batch: 0/16 loss: 0.39161446690559387 - device_num : 3
2023-09-27 10:38:30,558 | train | INFO | batch: 0/16 loss: 0.8506348729133606 - device_num : 7
2023-09-27 10:38:31,381 | train | INFO | batch: 0/16 loss: 0.7794504761695862 - device_num : 2
2023-09-27 10:38:31,395 | train | INFO | batch: 0/16 loss: 0.38938435912132263 - device_num : 6
2023-09-27 10:38:31,399 | train | INFO | batch: 0/16 loss: 0.5392781496047974 - device_num : 5
2023-09-27 10:38:31,523 | train | INFO | batch: 0/16 loss: 0.4455733895301819 - device_num : 0
2023-09-27 10:38:38,363 | train | INFO | --Train 4/10 -- device_num:1
2023-09-27 10:38:38,528 | train | INFO | --Train 4/10 -- device_num:4
2023-09-27 10:38:39,027 | train | INFO | --Train 4/10 -- device_num:7
2023-09-27 10:38:39,069 | train | INFO | --Train 4/10 -- device_num:3
2023-09-27 10:38:39,434 | train | INFO | --Train 4/10 -- device_num:2
2023-09-27 10:38:39,581 | train | INFO | --Train 4/10 -- device_num:5
2023-09-27 10:38:39,810 | train | INFO | --Train 4/10 -- device_num:6
2023-09-27 10:38:40,002 | train | INFO | Write row 3
2023-09-27 10:38:45,416 | train | INFO | batch: 0/313 loss: 0.021954616531729698 - device_num : 4
2023-09-27 10:38:47,032 | train | INFO | batch: 0/313 loss: 0.026143454015254974 - device_num : 3
2023-09-27 10:38:47,112 | train | INFO | batch: 0/313 loss: 0.013409707695245743 - device_num : 1
2023-09-27 10:38:48,066 | train | INFO | batch: 0/313 loss: 0.14700859785079956 - device_num : 7
2023-09-27 10:38:48,819 | train | INFO | batch: 0/313 loss: 0.08409383147954941 - device_num : 5
2023-09-27 10:38:48,905 | train | INFO | batch: 0/313 loss: 0.031794797629117966 - device_num : 2
2023-09-27 10:38:49,154 | train | INFO | batch: 0/313 loss: 0.016064200550317764 - device_num : 6
2023-09-27 10:38:51,621 | train | INFO | --Train 4/10 -- device_num:0
2023-09-27 10:38:53,045 | train | INFO | batch: 0/313 loss: 0.015188643708825111 - device_num : 0
2023-09-27 10:41:42,652 | train | INFO | batch: 100/313 loss: 0.008638869039714336 - device_num : 4
2023-09-27 10:41:42,708 | train | INFO | batch: 100/313 loss: 0.14606577157974243 - device_num : 0
2023-09-27 10:41:42,735 | train | INFO | batch: 100/313 loss: 0.018182244151830673 - device_num : 2
2023-09-27 10:41:42,740 | train | INFO | batch: 100/313 loss: 0.003566278610378504 - device_num : 3
2023-09-27 10:41:42,772 | train | INFO | batch: 100/313 loss: 0.005573936738073826 - device_num : 5
2023-09-27 10:41:42,785 | train | INFO | batch: 100/313 loss: 0.1377819925546646 - device_num : 1
2023-09-27 10:41:42,790 | train | INFO | batch: 100/313 loss: 0.08752600848674774 - device_num : 7
2023-09-27 10:41:42,988 | train | INFO | batch: 100/313 loss: 0.04415135085582733 - device_num : 6
2023-09-27 10:44:32,398 | train | INFO | batch: 200/313 loss: 0.002669656416401267 - device_num : 1
2023-09-27 10:44:32,538 | train | INFO | batch: 200/313 loss: 0.0280048418790102 - device_num : 3
2023-09-27 10:44:32,620 | train | INFO | batch: 200/313 loss: 0.022126715630292892 - device_num : 2
2023-09-27 10:44:32,649 | train | INFO | batch: 200/313 loss: 0.2295718789100647 - device_num : 7
2023-09-27 10:44:32,662 | train | INFO | batch: 200/313 loss: 0.004698719829320908 - device_num : 4
2023-09-27 10:44:32,747 | train | INFO | batch: 200/313 loss: 0.05478737875819206 - device_num : 5
2023-09-27 10:44:32,752 | train | INFO | batch: 200/313 loss: 0.09686785191297531 - device_num : 0
2023-09-27 10:44:32,921 | train | INFO | batch: 200/313 loss: 0.0033792827744036913 - device_num : 6
2023-09-27 10:47:17,064 | train | INFO | batch: 300/313 loss: 0.011441043578088284 - device_num : 0
2023-09-27 10:47:17,345 | train | INFO | batch: 300/313 loss: 0.014639127999544144 - device_num : 3
2023-09-27 10:47:17,414 | train | INFO | batch: 300/313 loss: 0.009050875902175903 - device_num : 7
2023-09-27 10:47:17,426 | train | INFO | batch: 300/313 loss: 0.0015279367798939347 - device_num : 1
